ANO,UFCOD,IDADE,SEXO,POPULACAO
2001,11,A0000,M,16073
2001,11,A0101,M,15998
2001,11,A0202,M,16080
2001,11,A0303,M,16078
2001,11,A0404,M,16017
2001,11,A0505,M,15972
2001,11,A0606,M,15937
2001,11,A0707,M,15939
2001,11,A0808,M,15966
2001,11,A0909,M,15968
2001,11,A1010,M,15922
2001,11,A1111,M,15875
2001,11,A1212,M,15825
2001,11,A1313,M,15776
2001,11,A1414,M,15712
2001,11,A1515,M,15609
2001,11,A1616,M,15457
2001,11,A1717,M,15243
2001,11,A1818,M,14980
2001,11,A1919,M,14730
2001,11,A2020,M,14481
2001,11,A2121,M,14180
2001,11,A2222,M,13826
2001,11,A2323,M,13416
2001,11,A2424,M,12974
2001,11,A2525,M,12558
2001,11,A2626,M,12189
2001,11,A2727,M,11922
2001,11,A2828,M,11721
2001,11,A2929,M,11547
2001,11,A3030,M,11366
2001,11,A3131,M,11196
2001,11,A3232,M,11054
2001,11,A3333,M,10918
2001,11,A3434,M,10777
2001,11,A3535,M,10614
2001,11,A3636,M,10414
2001,11,A3737,M,10145
2001,11,A3838,M,9832
2001,11,A3939,M,9542
2001,11,A4040,M,9176
2001,11,A4141,M,8789
2001,11,A4242,M,8394
2001,11,A4343,M,8008
2001,11,A4444,M,7624
2001,11,A4545,M,7252
2001,11,A4646,M,6885
2001,11,A4747,M,6518
2001,11,A4848,M,6179
2001,11,A4949,M,5858
2001,11,A5050,M,5559
2001,11,A5151,M,5274
2001,11,A5252,M,5013
2001,11,A5353,M,4750
2001,11,A5454,M,4494
2001,11,A5555,M,4252
2001,11,A5656,M,4012
2001,11,A5757,M,3783
2001,11,A5858,M,3581
2001,11,A5959,M,3420
2001,11,A6060,M,3280
2001,11,A6161,M,3164
2001,11,A6262,M,3053
2001,11,A6363,M,2925
2001,11,A6464,M,2768
2001,11,A6565,M,2590
2001,11,A6666,M,2406
2001,11,A6767,M,2240
2001,11,A6868,M,2074
2001,11,A6969,M,1937
2001,11,A7070,M,1817
2001,11,A7171,M,1706
2001,11,A7272,M,1596
2001,11,A7373,M,1475
2001,11,A7474,M,1342
2001,11,A7575,M,1216
2001,11,A7676,M,1084
2001,11,A7777,M,950
2001,11,A7878,M,828
2001,11,A7979,M,722
2001,11,A8080,M,629
2001,11,A8181,M,534
2001,11,A8282,M,448
2001,11,A8383,M,373
2001,11,A8484,M,309
2001,11,A8585,M,257
2001,11,A8686,M,215
2001,11,A8787,M,187
2001,11,A8888,M,173
2001,11,A8989,M,172
2001,11,A9090,M,627
2001,11,A0000,F,15621
2001,11,A0101,F,15706
2001,11,A0202,F,15858
2001,11,A0303,F,15888
2001,11,A0404,F,15892
2001,11,A0505,F,15886
2001,11,A0606,F,15874
2001,11,A0707,F,15870
2001,11,A0808,F,15880
2001,11,A0909,F,15830
2001,11,A1010,F,15750
2001,11,A1111,F,15706
2001,11,A1212,F,15708
2001,11,A1313,F,15720
2001,11,A1414,F,15718
2001,11,A1515,F,15667
2001,11,A1616,F,15557
2001,11,A1717,F,15359
2001,11,A1818,F,15102
2001,11,A1919,F,14826
2001,11,A2020,F,14551
2001,11,A2121,F,14239
2001,11,A2222,F,13892
2001,11,A2323,F,13528
2001,11,A2424,F,13160
2001,11,A2525,F,12812
2001,11,A2626,F,12490
2001,11,A2727,F,12206
2001,11,A2828,F,11930
2001,11,A2929,F,11644
2001,11,A3030,F,11327
2001,11,A3131,F,11027
2001,11,A3232,F,10736
2001,11,A3333,F,10458
2001,11,A3434,F,10189
2001,11,A3535,F,9926
2001,11,A3636,F,9638
2001,11,A3737,F,9334
2001,11,A3838,F,8997
2001,11,A3939,F,8706
2001,11,A4040,F,8366
2001,11,A4141,F,8018
2001,11,A4242,F,7673
2001,11,A4343,F,7325
2001,11,A4444,F,6984
2001,11,A4545,F,6648
2001,11,A4646,F,6314
2001,11,A4747,F,5968
2001,11,A4848,F,5632
2001,11,A4949,F,5293
2001,11,A5050,F,4950
2001,11,A5151,F,4622
2001,11,A5252,F,4304
2001,11,A5353,F,4023
2001,11,A5454,F,3782
2001,11,A5555,F,3578
2001,11,A5656,F,3387
2001,11,A5757,F,3204
2001,11,A5858,F,3036
2001,11,A5959,F,2890
2001,11,A6060,F,2744
2001,11,A6161,F,2618
2001,11,A6262,F,2491
2001,11,A6363,F,2366
2001,11,A6464,F,2229
2001,11,A6565,F,2096
2001,11,A6666,F,1958
2001,11,A6767,F,1827
2001,11,A6868,F,1699
2001,11,A6969,F,1576
2001,11,A7070,F,1452
2001,11,A7171,F,1330
2001,11,A7272,F,1212
2001,11,A7373,F,1099
2001,11,A7474,F,996
2001,11,A7575,F,907
2001,11,A7676,F,818
2001,11,A7777,F,742
2001,11,A7878,F,671
2001,11,A7979,F,612
2001,11,A8080,F,544
2001,11,A8181,F,487
2001,11,A8282,F,433
2001,11,A8383,F,381
2001,11,A8484,F,331
2001,11,A8585,F,283
2001,11,A8686,F,237
2001,11,A8787,F,195
2001,11,A8888,F,157
2001,11,A8989,F,122
2001,11,A9090,F,644
2001,12,A0000,M,9732
2001,12,A0101,M,9572
2001,12,A0202,M,9380
2001,12,A0303,M,9088
2001,12,A0404,M,8780
2001,12,A0505,M,8453
2001,12,A0606,M,8138
2001,12,A0707,M,7842
2001,12,A0808,M,7582
2001,12,A0909,M,7322
2001,12,A1010,M,7072
2001,12,A1111,M,6901
2001,12,A1212,M,6812
2001,12,A1313,M,6798
2001,12,A1414,M,6806
2001,12,A1515,M,6812
2001,12,A1616,M,6800
2001,12,A1717,M,6745
2001,12,A1818,M,6659
2001,12,A1919,M,6559
2001,12,A2020,M,6446
2001,12,A2121,M,6284
2001,12,A2222,M,6062
2001,12,A2323,M,5812
2001,12,A2424,M,5530
2001,12,A2525,M,5270
2001,12,A2626,M,5037
2001,12,A2727,M,4827
2001,12,A2828,M,4645
2001,12,A2929,M,4460
2001,12,A3030,M,4276
2001,12,A3131,M,4120
2001,12,A3232,M,3974
2001,12,A3333,M,3842
2001,12,A3434,M,3714
2001,12,A3535,M,3600
2001,12,A3636,M,3482
2001,12,A3737,M,3364
2001,12,A3838,M,3250
2001,12,A3939,M,3122
2001,12,A4040,M,3022
2001,12,A4141,M,2928
2001,12,A4242,M,2832
2001,12,A4343,M,2738
2001,12,A4444,M,2620
2001,12,A4545,M,2506
2001,12,A4646,M,2390
2001,12,A4747,M,2278
2001,12,A4848,M,2178
2001,12,A4949,M,2072
2001,12,A5050,M,1978
2001,12,A5151,M,1886
2001,12,A5252,M,1791
2001,12,A5353,M,1709
2001,12,A5454,M,1628
2001,12,A5555,M,1558
2001,12,A5656,M,1487
2001,12,A5757,M,1412
2001,12,A5858,M,1346
2001,12,A5959,M,1277
2001,12,A6060,M,1220
2001,12,A6161,M,1161
2001,12,A6262,M,1101
2001,12,A6363,M,1046
2001,12,A6464,M,991
2001,12,A6565,M,939
2001,12,A6666,M,892
2001,12,A6767,M,844
2001,12,A6868,M,802
2001,12,A6969,M,766
2001,12,A7070,M,741
2001,12,A7171,M,714
2001,12,A7272,M,684
2001,12,A7373,M,655
2001,12,A7474,M,622
2001,12,A7575,M,586
2001,12,A7676,M,557
2001,12,A7777,M,507
2001,12,A7878,M,457
2001,12,A7979,M,410
2001,12,A8080,M,374
2001,12,A8181,M,332
2001,12,A8282,M,292
2001,12,A8383,M,256
2001,12,A8484,M,224
2001,12,A8585,M,196
2001,12,A8686,M,168
2001,12,A8787,M,144
2001,12,A8888,M,122
2001,12,A8989,M,100
2001,12,A9090,M,376
2001,12,A0000,F,9380
2001,12,A0101,F,9276
2001,12,A0202,F,9132
2001,12,A0303,F,8924
2001,12,A0404,F,8681
2001,12,A0505,F,8426
2001,12,A0606,F,8172
2001,12,A0707,F,7912
2001,12,A0808,F,7664
2001,12,A0909,F,7394
2001,12,A1010,F,7140
2001,12,A1111,F,6948
2001,12,A1212,F,6858
2001,12,A1313,F,6819
2001,12,A1414,F,6802
2001,12,A1515,F,6794
2001,12,A1616,F,6757
2001,12,A1717,F,6694
2001,12,A1818,F,6606
2001,12,A1919,F,6530
2001,12,A2020,F,6428
2001,12,A2121,F,6291
2001,12,A2222,F,6076
2001,12,A2323,F,5824
2001,12,A2424,F,5550
2001,12,A2525,F,5298
2001,12,A2626,F,5058
2001,12,A2727,F,4853
2001,12,A2828,F,4676
2001,12,A2929,F,4488
2001,12,A3030,F,4299
2001,12,A3131,F,4130
2001,12,A3232,F,3981
2001,12,A3333,F,3849
2001,12,A3434,F,3724
2001,12,A3535,F,3602
2001,12,A3636,F,3489
2001,12,A3737,F,3370
2001,12,A3838,F,3246
2001,12,A3939,F,3118
2001,12,A4040,F,3006
2001,12,A4141,F,2905
2001,12,A4242,F,2794
2001,12,A4343,F,2696
2001,12,A4444,F,2578
2001,12,A4545,F,2451
2001,12,A4646,F,2348
2001,12,A4747,F,2237
2001,12,A4848,F,2134
2001,12,A4949,F,2034
2001,12,A5050,F,1925
2001,12,A5151,F,1806
2001,12,A5252,F,1702
2001,12,A5353,F,1598
2001,12,A5454,F,1518
2001,12,A5555,F,1440
2001,12,A5656,F,1370
2001,12,A5757,F,1308
2001,12,A5858,F,1244
2001,12,A5959,F,1176
2001,12,A6060,F,1109
2001,12,A6161,F,1044
2001,12,A6262,F,985
2001,12,A6363,F,926
2001,12,A6464,F,872
2001,12,A6565,F,820
2001,12,A6666,F,773
2001,12,A6767,F,720
2001,12,A6868,F,683
2001,12,A6969,F,650
2001,12,A7070,F,624
2001,12,A7171,F,595
2001,12,A7272,F,574
2001,12,A7373,F,551
2001,12,A7474,F,514
2001,12,A7575,F,481
2001,12,A7676,F,444
2001,12,A7777,F,402
2001,12,A7878,F,364
2001,12,A7979,F,326
2001,12,A8080,F,315
2001,12,A8181,F,288
2001,12,A8282,F,262
2001,12,A8383,F,236
2001,12,A8484,F,210
2001,12,A8585,F,187
2001,12,A8686,F,163
2001,12,A8787,F,142
2001,12,A8888,F,124
2001,12,A8989,F,109
2001,12,A9090,F,420
2001,13,A0000,M,40895
2001,13,A0101,M,41252
2001,13,A0202,M,41070
2001,13,A0303,M,40584
2001,13,A0404,M,40041
2001,13,A0505,M,39484
2001,13,A0606,M,38799
2001,13,A0707,M,37978
2001,13,A0808,M,37082
2001,13,A0909,M,36066
2001,13,A1010,M,35052
2001,13,A1111,M,34283
2001,13,A1212,M,33889
2001,13,A1313,M,33780
2001,13,A1414,M,33762
2001,13,A1515,M,33674
2001,13,A1616,M,33489
2001,13,A1717,M,33158
2001,13,A1818,M,32710
2001,13,A1919,M,32270
2001,13,A2020,M,31810
2001,13,A2121,M,31152
2001,13,A2222,M,30240
2001,13,A2323,M,29128
2001,13,A2424,M,27930
2001,13,A2525,M,26744
2001,13,A2626,M,25622
2001,13,A2727,M,24582
2001,13,A2828,M,23644
2001,13,A2929,M,22695
2001,13,A3030,M,21754
2001,13,A3131,M,20900
2001,13,A3232,M,20174
2001,13,A3333,M,19520
2001,13,A3434,M,18920
2001,13,A3535,M,18320
2001,13,A3636,M,17742
2001,13,A3737,M,17160
2001,13,A3838,M,16574
2001,13,A3939,M,16000
2001,13,A4040,M,15436
2001,13,A4141,M,14878
2001,13,A4242,M,14319
